序号,公告日期,证券,标题,Unnamed: 4
501,2007-06-29,"武钢股份(600005.SH),07武钢债(126005.SH)",武钢股份：信息披露管理办法,
502,2007-06-26,"武钢股份(600005.SH),07武钢债(126005.SH)",武钢CWB1：武汉钢铁有限公司关于武钢CWB1行权价格调整的公告,
503,2007-06-20,"武钢股份(600005.SH),07武钢债(126005.SH)",武钢股份：2006年度分红派息实施公告,
504,2007-06-20,武钢股份(600005.SH),武钢股份:关于武钢CWB1行权价格调整的提示性公告,
505,2007-05-11,武钢股份(600005.SH),武钢股份：2006年年度股东大会的法律意见书,
506,2007-05-11,武钢股份(600005.SH),武钢股份：2006年年度股东大会决议公告,
507,2007-04-28,"武钢股份(600005.SH),07武钢债(126005.SH)",武钢股份：2006年年度股东大会会议资料,
508,2007-04-27,"武钢股份(600005.SH),07武钢债(126005.SH)",武钢股份：2007年第一季度报告,
509,2007-04-27,"武钢股份(600005.SH),07武钢债(126005.SH)",武钢股份：第四届董事会第十五次会议决议公告,
510,2007-04-17,"武钢股份(600005.SH),07武钢债(126005.SH)",武钢股份：武钢CWB1权证上市首日开盘参考价公告,
511,2007-04-16,"武钢股份(600005.SH),07武钢债(126005.SH)",武钢股份：2006年年度报告,
512,2007-04-16,"武钢股份(600005.SH),07武钢债(126005.SH)",武钢股份：2006年年度报告摘要,
513,2007-04-16,"武钢股份(600005.SH),07武钢债(126005.SH)",武钢股份：2007年第一季度业绩预增公告,
514,2007-04-16,"武钢股份(600005.SH),07武钢债(126005.SH)",武钢股份：第四届监事会第九次会议决议公告,
515,2007-04-16,"武钢股份(600005.SH),07武钢债(126005.SH)",武钢股份：第四届董事会第十四次会议决议公告暨召开2006年度股东大会会议通知,
516,2007-04-16,"武钢股份(600005.SH),07武钢债(126005.SH)",武钢股份：被控股股东和关联方占用资金以及向控股股东及控股股东所属企业提供担保问题的专项说明,
517,2007-04-13,"武钢股份(600005.SH),07武钢债(126005.SH)",武钢股份：认股权证上市公告书,
518,2007-04-13,"武钢股份(600005.SH),07武钢债(126005.SH)",武钢股份：公司债券上市公告,
519,2007-04-02,武钢股份(600005.SH),武钢股份：关于认购权和债券分离交易的可转换公司债券的提示性公告,
520,2007-03-30,武钢股份(600005.SH),武钢股份：认股以和债券分离交易的可转换公司债券网上资金申购摇号中签结果公告,
521,2007-03-29,武钢股份(600005.SH),武钢股份：发行分离交易的可转换公司债券定价、网下发行结果及网上中签率公告,
522,2007-03-26,武钢股份(600005.SH),武钢股份：公开发行分离交易的可转换公司债券提示性公告,
523,2007-03-21,武钢股份(600005.SH),武钢股份：认股权和债券分离交易的可转换公司债券募集说明书摘要,
524,2007-03-21,武钢股份(600005.SH),武钢股份：认股权和债券分离交易的可转换公司债券发行公告,
525,2007-03-21,武钢股份(600005.SH),武钢股份：认股权和债券分离交易的可转换公司债券募集说明书,
526,2007-03-21,武钢股份(600005.SH),武钢股份：公开发行认股权和债券分离交易的可转换公司债券网上路演公告,
527,2007-02-15,武钢股份(600005.SH),武钢股份：第四届董事会第十三次会议决议公告,
528,2007-01-23,武钢股份(600005.SH),武钢股份：2007年第一次临时股东大会的法律意见书,
529,2007-01-23,武钢股份(600005.SH),武钢股份：第四届董事会第十二次会议决议公告,
530,2007-01-23,武钢股份(600005.SH),武钢股份：2007年第一次临时股东大会决议公告,
531,2007-01-18,武钢股份(600005.SH),武钢股份：2007年第一次临时股东大会会议资料,
532,2007-01-06,武钢股份(600005.SH),武钢股份：第四届董事会第十一次会议决议公告暨召开公司2007年第一次临时股东大会的通知,
533,2006-11-24,武钢股份(600005.SH),武钢JTB1：关于“武钢JTB1”认购权证、“武钢JTP1”认沽权证终止上市的公告,
534,2006-11-24,武钢股份(600005.SH),武钢JTP1：关于“武钢JTB1”认购权证、“武钢JTP1”认沽权证终止上市的公告,
535,2006-11-23,武钢股份(600005.SH),武钢JTB1：武汉钢铁（集团）公司关于“武钢JGB1”认购权证、“武钢JTP1”认沽权证行权结果的公告,
536,2006-11-23,武钢股份(600005.SH),武钢JTP1：武汉钢铁（集团）公司关于“武钢JGB1”认购权证、“武钢JTP1”认沽权证行权结果的公告,
537,2006-11-15,武钢股份(600005.SH),武钢JTB1：武汉钢铁（集团）公司关于“武钢JTB1”认购权证及“武钢JTP1”认沽权证第三次行权提示性公告,
538,2006-11-15,武钢股份(600005.SH),武钢JTP1：武汉钢铁（集团）公司关于“武钢JTB1”认购权证及“武钢JTP1”认沽权证第三次行权提示性公告,
539,2006-11-15,武钢股份(600005.SH),武钢JTP1：特别提示公告,
540,2006-11-15,武钢股份(600005.SH),武钢JTB1：特别提示公告,
541,2006-11-14,武钢股份(600005.SH),武钢JTP1：终止上市的提示性公告,
542,2006-11-14,武钢股份(600005.SH),武钢JTB1：终止上市的提示性公告,
543,2006-11-13,武钢股份(600005.SH),武钢JTB1：关于“武钢JTB1”认购权证及“武钢JTP1”认沽权证第二次行权提示性公告,
544,2006-11-13,武钢股份(600005.SH),武钢JTB1：国都证券有限责任公司关于注销武钢股份认购权证的公告,
545,2006-11-10,武钢股份(600005.SH),武钢JTB1：长江证券有限责任公司关于注销武钢股份认购权证的公告,
546,2006-11-09,武钢股份(600005.SH),武钢JTB1：国都证券有限责任公司关于注销武钢股份认购权证的公告,
547,2006-11-09,武钢股份(600005.SH),武钢JTB1：长江证券有限责任公司关于注销武钢股份认购权证的公告,
548,2006-11-09,武钢股份(600005.SH),武钢JTB1：华泰证券有限责任公司关于注销武钢股份认购权证的公告,
549,2006-11-08,武钢股份(600005.SH),武钢JTB1：国元证券有限责任公司关于注销武钢股份认购权证的公告,
550,2006-11-08,武钢股份(600005.SH),武钢JTB1：长江证券有限责任公司关于注销武钢股份认购权证的公告,
551,2006-11-07,武钢股份(600005.SH),武钢JTB1：国元证券有限责任公司关于注销武钢股份认购权证的公告,
552,2006-11-07,武钢股份(600005.SH),武钢JTB1：国信证券有限责任公司关于注销武钢股份认购权证的公告,
