Date,Open,High,Low,Close,Volume,TrunOverRate,MA5,MA30,Change,UP,DOWN,reportFilter,TomorrowUp,TomorrowDown,TomorrowUp_5percent,TomorrowDown_5percent,Dis2low,Dis2high,VolumeM5,VolumeVarianceM5,PriceBandM5,inBandM5,Dis2M5,PriceStability,TimeIndex
1999-08-03,4.89,4.97,4.8,4.86,83774331,0.31,0.89,0.89,0.13,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,83774331.0,0.0,0.972,0.0,0.0,0.02,0
1999-08-04,4.88,5.05,4.87,5.04,37269942,0.14,0.91,0.91,0.04,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.07,37269942.0,0.0,1.008,0.0,0.0,0.02,1
1999-08-05,5.05,5.53,5.05,5.48,47699515,0.18,0.94,0.94,0.09,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,47699515.0,0.0,1.096,0.0,0.0,0.02,2
1999-08-06,5.49,5.78,5.47,5.74,49357455,0.18,0.97,0.97,0.05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,49357455.0,0.0,1.148,0.0,0.0,0.02,3
1999-08-09,5.8,5.88,5.57,5.59,22998755,0.08,0.98,0.98,-0.03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,22998755.0,0.0,1.118,0.0,0.0,0.02,4
1999-08-10,5.57,5.78,5.5,5.57,16003915,0.06,1.01,0.99,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,-32216084.6,22481604.3184,1.08,0.0,4.56,0.02,5
1999-08-11,5.55,5.55,5.35,5.4,11579440,0.04,1.02,0.99,-0.03,0,0,0.0,0.0,0.0,0.0,0.0,0.33,0.55,-23086476.4,14806163.4093,1.01,0.0,4.38,0.02,6
1999-08-12,5.39,5.49,5.36,5.39,5500788,0.02,1.02,0.99,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.39,0.56,-24027028.0,17826202.3736,0.83,0.0,4.37,0.02,7
1999-08-13,5.42,5.49,5.39,5.4,4761321,0.02,1.0,0.99,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.39,0.59,-16326749.6,17044316.3704,-0.53,0.0,4.4,0.02,8
1999-08-16,5.4,5.54,5.38,5.46,5380012,0.02,1.0,0.99,0.01,0,0,0.0,0.0,0.0,0.0,0.0,0.34,0.58,-6788831.8,7610461.66032,-0.53,0.0,4.46,0.02,9
1999-08-17,5.51,5.64,5.5,5.54,8232214,0.03,1.0,0.99,0.01,0,0,0.0,0.0,0.0,0.0,0.0,0.24,0.7,-412881.2,4959681.09765,-0.43,0.0,4.54,0.02,10
1999-08-18,5.54,5.55,5.37,5.48,5042578,0.02,1.0,0.99,-0.01,0,0,0.0,0.0,0.0,0.0,0.0,0.33,0.57,-2048177.0,2843067.05476,0.29,0.0,4.48,0.02,11
