Date,Open,High,Low,Close,Volume,TrunOverRate,MA5,MA30,reportFilter
1999-08-03,4.89,4.97,4.8,4.86,83774331,0.31,0.89,0.89,5.0
1999-08-04,4.88,5.05,4.87,5.04,37269942,0.14,0.91,0.91,0.0
1999-08-05,5.05,5.53,5.05,5.48,47699515,0.18,0.94,0.94,0.0
1999-08-06,5.49,5.78,5.47,5.74,49357455,0.18,0.97,0.97,0.0
1999-08-09,5.8,5.88,5.57,5.59,22998755,0.08,0.98,0.98,0.0
1999-08-10,5.57,5.78,5.5,5.57,16003915,0.06,1.01,0.99,0.0
1999-08-11,5.55,5.55,5.35,5.4,11579440,0.04,1.02,0.99,0.0
1999-08-12,5.39,5.49,5.36,5.39,5500788,0.02,1.02,0.99,0.0
1999-08-13,5.42,5.49,5.39,5.4,4761321,0.02,1.0,0.99,0.0
1999-08-16,5.4,5.54,5.38,5.46,5380012,0.02,1.0,0.99,0.0
1999-08-17,5.51,5.64,5.5,5.54,8232214,0.03,1.0,0.99,0.0
1999-08-18,5.54,5.55,5.37,5.48,5042578,0.02,1.0,0.99,0.0
1999-08-19,5.5,5.6,5.43,5.52,9068314,0.03,1.01,0.99,0.0
1999-08-20,5.58,5.59,5.46,5.47,6475159,0.02,1.01,0.99,0.0
1999-08-23,5.46,5.48,5.39,5.42,5190760,0.02,1.01,0.99,0.0
1999-08-24,5.42,5.45,5.34,5.38,6809101,0.03,1.0,0.99,0.0
1999-08-25,5.38,5.4,5.33,5.37,4612566,0.02,1.0,0.99,0.0
1999-08-26,5.37,5.47,5.37,5.43,3682955,0.01,0.99,0.99,0.0
1999-08-27,5.43,5.46,5.38,5.4,3209422,0.01,0.99,0.99,0.0
1999-08-30,5.4,5.4,5.3,5.33,4033295,0.01,0.99,0.99,0.0
1999-08-31,5.48,5.6,5.48,5.53,9357578,0.03,0.99,0.99,1.0
1999-09-01,5.57,5.58,5.46,5.46,5463463,0.02,1.0,0.99,0.0
1999-09-02,5.45,5.52,5.38,5.5,3734415,0.01,1.0,0.99,0.0
1999-09-03,5.5,5.52,5.4,5.42,2289471,0.01,1.0,0.99,0.0
1999-09-06,5.42,5.42,5.35,5.38,1588549,0.01,1.0,0.99,0.0
1999-09-07,5.39,5.42,5.37,5.39,1587702,0.01,1.0,0.99,0.0
1999-09-08,5.41,5.5,5.39,5.44,1838838,0.01,1.0,0.99,0.0
1999-09-09,5.5,5.75,5.48,5.73,15192666,0.06,1.0,1.0,0.0
1999-09-10,5.8,6.01,5.78,5.86,21983784,0.08,1.02,1.0,0.0
1999-09-13,5.91,5.98,5.85,5.9,10141424,0.04,1.04,1.0,0.0
