,mean_value,mean_volumn,profit
sh600000,297846191171.3095,291827910.85714287,-0.06845052893590539
sh600004,15936651428.571428,17696761.32,0.042060085836909886
sh600005,50427391936.57143,251736785.4457143,0.09283819628647218
sh600006,17561511627.90698,82434631.71511628,0.4022435897435897
sh600007,15836253243.257143,9901791.325714286,-0.14784263959390864
sh600008,31240061157.714287,71923783.14285715,-0.24731182795698928
sh600009,51195227118.28571,24009874.62857143,0.3658061373599609
sh600010,123816557672.05714,497583439.73714286,-0.10623556581986142
sh600011,123737154285.71428,101979323.85714285,-0.028846153846153803
sh600012,14381759268.571428,20205714.988571428,0.5378548895899053
sh600015,123946309255.65715,131121241.57714286,-0.24076809453471196
sh600016,303737689761.82855,464614681.49714285,-0.18738404452690163
sh600017,19959761059.942856,114698839.17142858,0.16736401673640164
sh600018,181684870664.4,162387591.32,0.11295180722891567
sh600019,121190779038.85715,193110916.73714286,-0.21552878179384197
sh600020,13548690096.171429,68912076.44571428,0.3156626506024095
sh600021,40249745118.97143,79684038.66285715,0.8623629719853834
sh600022,27150326852.514286,149859571.8,0.02786377708978324
sh600023,107372559165.65715,150117412.84,0.058344640434192636
sh600026,32294710019.72603,115433845.82876712,0.16877637130801684
sh600027,61788124027.542854,142373368.68571427,0.005540166204986155
sh600028,706643728191.9429,613283151.2914286,-0.29971988795518206
sh600029,78906061020.0,231042487.65714285,0.3881932021466905
sh600030,296890326714.97144,402923720.8,-0.5978072706289671
sh600031,70118223533.04597,223749218.77011493,-0.29810568295114653
sh600033,13532580708.571428,85999907.77142857,0.0
sh600035,9884548005.950413,63427002.48760331,-0.08064516129032265
sh600036,392146375551.8823,255798909.55882353,0.05335731414868109
sh600037,31660866696.18421,34035216.58552632,0.278420694349898
sh600038,31346885984.4,14872364.702857142,0.12960042060988433
sh600039,18924577553.714287,130160936.56571428,-0.1472727272727272
sh600048,117172066699.2,311744472.38857144,-0.30924369747899155
sh600050,143009213970.17142,540762162.5942857,0.18821292775665405
sh600051,3606382582.857143,13642443.822857143,0.03538812785388134
