,profit,mean_volumn,mean_value
sh600004,-3.168656067889174,16.68889220453067,23.49188741475008
sh600005,-2.376897125958597,19.343894597403587,24.643800355191086
sh600006,-0.9106974292376439,18.22751619438833,23.588975505042193
sh600009,-1.0056517652547992,16.99397574654996,24.658912144300604
sh600012,-0.6201664771537092,16.82147604258336,23.38922652310333
sh600017,-1.7875840978175745,18.557820461485427,23.71698413681333
sh600018,-2.1807940359401234,18.905496574644523,25.92553954341342
sh600020,-1.1530811970295471,18.048341995599106,23.329555707729828
sh600021,-0.14807901575870883,18.193579855985956,24.41836950834302
sh600022,-3.5804277458864386,18.825209225562844,24.02465492202053
sh600023,-2.841387776495775,18.826928298136412,25.399570485124304
sh600026,-1.779180687021195,18.564208160447215,24.19816927728312
sh600027,-5.195730777772934,18.773963521795665,24.84697701510434
sh600029,-0.9462521196146396,19.258112180824856,25.091523880859217
sh600036,-2.9307442131865518,19.35990218423372,26.69490101405793
sh600037,-1.2786220201310752,17.342906328455705,24.178347266140953
sh600038,-2.043299249622591,16.515015330867644,24.16838076845058
sh600050,-1.6701813626031197,20.108490114628246,25.68617489848842
sh600051,-3.3413788864512437,16.428696360229914,22.005971052288626
sh600053,-0.7343429369982127,15.527456350188908,22.228650696684873
sh600054,-0.9561469709465072,15.564969961696493,22.7672530814971
sh600055,-0.463981163739268,15.481382617420278,22.72908238346318
sh600057,-2.394893769794614,16.91275119355267,23.369412429413664
sh600058,0.02519565068625741,17.195722695367728,23.95918943773103
sh600060,-1.7753656594523781,17.655091532303306,24.065082565433684
sh600063,-2.406516015842278,18.15748073559528,23.119128417320876
sh600071,-1.7095635108532918,15.383746719871889,22.2820335977139
sh600072,0.24116205681688824,16.660872005384086,23.011826970248375
sh600073,-0.8490556390081951,17.325732088458803,23.18427409804231
sh600074,0.9653284514353702,17.72356167680981,23.961206357352737
sh600075,0.3433333270011582,16.423930052212505,22.097029762235042
sh600076,-1.0449081096962485,16.867170302840982,22.068128181210728
sh600081,-1.1897951041226937,16.121504921801787,22.51248063579252
sh600083,-2.2264237320284828,15.885681131721679,21.621358653285476
sh600085,-3.032099917724864,16.862808506921024,24.391380774953447
sh600086,-1.3724847117905263,16.407252686421508,23.500647245796014
sh600088,-2.5498947101554386,15.934979643815097,22.921933933355092
sh600090,-1.7784259383585899,16.82184932261595,22.557782469904623
sh600091,-1.6352555954600414,15.93595759409741,21.85052673446366
sh600093,-1.0830909127654857,16.678816366110528,22.81614691962696
sh600094,-2.661756917131364,17.110033795095966,24.06607882756799
sh600095,-0.4488454037383897,17.289083381229386,22.06442104972226
sh600097,0.12648414710911932,15.365974179785951,21.95355597197322
sh600098,-2.01322093435928,17.581372342995202,24.124605087972377
sh600099,-0.46126146574986965,15.551973998357175,21.500431135830322
sh600100,-1.235471471385307,18.622974829201386,24.68140695691366
sh600101,-1.1067839378174291,16.660539276523473,22.059041348906586
sh600103,-1.2894063606343495,17.94286620638724,22.66956776084516
sh600105,-1.015678389295136,16.785915743450694,22.640237073561433
sh600106,-0.24794174380226702,17.514472002854003,22.81199757479462
sh600107,-0.35546939828338364,16.99362543811531,22.318450925397073
sh600110,0.1327510570406415,18.003267817060653,22.998942550653382
sh600112,-2.2606941512848855,17.58753446740452,22.991053892837602
sh600115,-0.9959581346080263,19.123161916311,25.251511706013364
sh600118,-1.4283277428264423,17.680885180531053,24.690524196794815
sh600119,-2.6301744560376825,16.953868173482523,22.623790100925746
sh600120,-2.6465480013444176,16.44524284172148,23.412980855084808
sh600122,-1.2892326482767593,17.69009364344132,23.37520363958209
sh600126,-1.9993988340062994,17.270115065740168,22.837987299226665
sh600127,-5.311562593298049,17.533093654044873,22.349270890934296
sh600130,-1.2497614654916116,17.73635552870176,22.674461956994726
sh600131,-2.6479462770325055,16.633061375297068,22.19981553064266
sh600133,-1.4690257587173552,17.522340567278682,22.644384254410145
sh600136,0.22616511658519864,15.15522581704762,21.939284271528035
sh600137,-2.452645787569777,15.235339528845536,21.522034234539202
sh600138,-1.3195061202483032,17.06438539041631,23.477074219998276
sh600139,-0.40885685810928496,16.932310634698798,23.060648145993227
sh600143,-6.562444093693741,18.136799372249826,23.910786382874672
sh600145,-2.2982277876250903,16.13288909849266,21.391011256933698
sh600146,-0.5056120567131032,15.892727183170264,22.303688501865665
sh600148,-3.63810202251833,15.857071240028914,21.987918801488682
sh600149,-2.3362583081006343,17.40816445937277,22.70123331249085
sh600152,-2.550601909053395,16.345427872617435,21.831097001485524
sh600153,-0.40165920437048586,18.198282263081147,24.410400990558355
sh600155,-1.4013826607710922,16.740159150812246,22.674148196300713
sh600156,-1.4081531549323896,16.66379122833581,22.18797744099574
sh600158,-3.2627477091972126,17.814526058813318,23.745346022431114
sh600160,0.061154423153330646,17.8027327977903,23.592513018592335
sh600165,0.6708887099590027,16.111135326958696,22.353213331909835
sh600167,-0.057469227953411334,15.043880724109659,22.007724544647285
sh600171,-1.1694383412367217,17.110946399230308,23.246311367752522
sh600172,-0.002538072428471,16.84609336410507,23.062359249991527
sh600176,-1.0729778746973218,17.02838952532974,23.714794647494138
sh600177,-2.4782176616372036,18.071732852377647,24.355947745449495
sh600178,-0.9055334911946592,16.191221072299395,22.23737606284823
sh600179,-2.916689066213538,16.852876097767478,22.529096441029267
sh600180,-1.846995597703313,16.176446316746336,23.673050153431024
sh600186,0.3240293779843271,17.796345318952948,22.612783313696795
sh600189,-0.5329323995470205,16.42944269071178,22.112743927139174
sh600191,-0.835728408704386,16.046322991760455,22.255404726991152
sh600193,-0.020772260233888472,16.888687700824658,22.45809782739063
sh600195,-1.7237547401139972,16.15383526136656,23.031096440189167
sh600196,-2.3226651512810457,17.413350971969066,24.74343633696622
sh600198,-1.9715525796686515,17.14457108774324,23.883848879463933
sh600200,-0.837198143036939,17.13244216486054,23.311720396515483
sh600201,-0.7962439894690856,15.323834071993039,23.567656245741023
sh600202,0.3711156280935267,16.62999952986491,22.15045048718776
sh600203,-2.218777135721954,16.306102360671435,22.359780870162396
sh600206,-2.9250372739965105,17.226218479018343,23.280026403536123
sh600207,-3.55029329082779,17.132147211599012,22.47290327716063
sh600210,-2.1150888804100734,18.08749252328303,23.068323217896648
sh600212,-0.685803206304187,17.628429563927266,22.277406233271435
sh600215,-1.3074605997954931,16.640532102683938,22.174406139236858
sh600220,-1.6220166946409604,18.090816990485777,23.13459218764446
sh600221,-2.4006463061702603,19.811863829587843,24.759156090863538
sh600226,-0.28848560805146445,16.444406050060955,22.180917232626367
sh600229,-0.612485031248974,16.872733582219805,22.623838782085773
sh600232,-0.9980710594462329,16.57379107483525,21.900606252418314
sh600233,-0.8195423926656713,15.740606901897472,21.798618589970104
sh600235,-1.864378237830309,16.500858675904894,22.037231322381512
sh600236,-1.1420974006078484,17.52794215821881,23.605740704974483
sh600240,-0.9863226114278343,17.667307049780334,23.743357424748172
sh600241,-3.818810623705962,15.82808373661696,21.581524191285126
sh600242,-2.469765273111637,15.96007090415102,21.82488867118276
sh600243,-1.8112532639090564,16.35466117554771,21.74771921215674
sh600247,0.14430348960643372,15.977361112172618,22.382390248328335
sh600257,-1.065687503971643,17.06454048860802,22.25299903180411
sh600258,-2.251882989874085,15.07041923520162,22.093536457427867
sh600260,-2.255245489156322,17.18708116801861,22.89373868530385
sh600262,-0.04710924223313009,15.340506352734831,22.38203200004795
sh600265,-0.14992520240019908,14.455699885388064,21.455780330787007
sh600268,-3.3998631586490187,17.153902400122675,22.621976050622273
sh600270,-1.4673127738176568,16.69904397970895,23.840400423670168
sh600271,-0.47523248167952714,16.886423969748336,24.6997975577108
sh600276,-1.6697724035284929,16.520447800740257,25.0922502705875
sh600277,-0.5144752628535404,17.756437678220554,23.804656111818925
sh600278,-1.532617706450659,16.294263946714572,22.900250256687883
sh600284,-2.960439320512883,17.440089584041846,23.020009736021002
sh600285,-0.9198557980386514,17.10887792885241,22.550594793885466
sh600288,-1.0091766680669734,17.009683352531212,22.99824408086807
sh600289,-1.043285224711513,17.388741755069134,23.003103746009344
sh600290,-3.908014984030611,16.738499911406112,22.620046460619427
sh600291,-3.641732675688234,16.735696936390518,23.08406981584898
sh600293,-1.587832133719519,16.750822066640342,22.044479477485176
sh600297,-0.5175514210552733,16.11235270214057,24.066880077457164
sh600298,-0.7303657240279536,16.05502500008616,22.940466284056683
sh600299,-0.7324118990818884,15.832404975724701,22.873024951793866
sh600300,-3.622434354705786,17.840408073629863,23.26449381797565
sh600301,-1.6401308588335066,15.179396501300914,21.693756992747105
sh600302,-2.947441984426211,16.279236423147708,21.922077890660248
sh600305,-2.314868887876197,15.714776261719447,22.710254963325355
sh600306,-1.0780142380730386,15.67108807086994,21.773339475467107
sh600308,-4.215297172639771,17.545615388263624,22.642728497189015
sh600312,-0.6647155133974825,17.32025573808349,23.88500423795989
sh600318,-0.3925617032722565,16.46730648426878,22.655219453272352
sh600319,-0.15032995512059338,16.359354386526576,21.544938078666867
sh600321,-1.7320402345264327,17.920895513104927,22.905247419890948
sh600326,-2.8028092648826677,17.45232922060853,22.686515618865606
sh600327,-1.7789551969820667,16.885782718154058,22.422378218933684
sh600328,-0.8929845922407685,16.653596079795758,22.28629318632746
sh600329,-2.0554377943314153,16.36983564956022,23.356428907734617
sh600336,-3.2066272027919998,17.23020497809027,22.368802039345738
sh600337,-1.1332520706380473,16.345958425988695,22.979551870190488
sh600339,-2.1698696938868522,17.108322681132716,22.18979795954198
sh600343,-3.043439600584592,17.500521958796323,23.49360587429551
sh600346,0.13048968692549814,15.995032297345867,21.91768235301584
sh600350,-2.0476928433652546,17.525733775303756,24.2434166079554
sh600351,-1.3975939163738242,17.076313880530574,22.910022854517234
sh600355,-0.4685319586342795,16.41490951481127,21.985476239081034
sh600356,-2.477526542490378,15.692032438286796,21.831037985657996
sh600358,-0.7895721876815166,16.93930780161889,22.557566067474365
sh600360,-1.8379988618780834,17.374670147505814,22.448727850283895
sh600363,-1.2517346907698024,17.076797903306737,22.662221154317162
sh600365,0.33265543809451215,15.895665609080645,22.06255103124879
sh600370,-1.3102721057058564,16.15189920402277,21.936300321969988
sh600371,-2.8205281845289014,16.048476013513334,22.101606046939555
sh600373,-0.3843195881931852,16.982031452989073,24.12784959710166
sh600377,-2.9204697890534432,16.771686738680074,24.312461622814464
sh600378,-0.4742559389842658,15.422055345188868,22.41797735720451
sh600380,-1.139908479040134,17.83022311196057,23.843939887781193
sh600383,-2.8105898404183964,18.043305779635396,24.67904597333298
sh600385,-1.2867828213660293,15.674416057752309,21.690180602400027
sh600386,-1.7080061821579824,16.53913437564341,22.48854794167101
sh600387,-4.149163380671693,16.606456196248423,22.595889136664535
sh600391,-1.976804846787126,16.645366763889324,23.422788839610043
sh600393,-2.2407096892759575,16.11700655448481,21.82173318757528
sh600398,-0.9739156452269079,16.959689272392588,24.908815166315375
sh600400,0.6360939911111074,16.796878193142764,22.66410312429905
sh600406,-4.053789626055684,18.095577508939474,24.566608433921456
sh600408,-2.2046046846338414,17.454554835332782,22.161171767115555
sh600409,-1.957083449653438,17.91448053065377,23.544407576779413
sh600410,-2.9856819377004897,17.63259114789569,23.617117491819606
sh600416,-2.9236654859956275,16.769496185874456,23.23087720181423
sh600419,-1.0206009724292182,14.959010087770196,21.615691713886633
sh600420,-0.7368306316707545,15.735858276757687,23.071839573862405
sh600421,-0.17327172127403653,15.795355261878548,21.701628032129143
sh600422,-1.4651153215431043,16.068761833605237,23.14457935876088
sh600426,-2.4049313616324404,17.506900645085683,23.300449777062134
sh600428,-0.22124901333042796,18.309074453571235,23.533153009387927
sh600435,-2.1439528411925464,16.886076837479962,24.056253362693433
sh600438,-2.347225873616666,16.46983188139013,23.171455131012774
sh600439,-2.551046452292546,17.59019567171237,22.578090232875223
sh600444,-1.6123218365670053,14.90296218208234,21.408704835359273
sh600446,0.24324049458047292,15.827955743015643,24.302178826175133
sh600448,-0.9641540260170872,16.980436592966637,22.02935502935692
sh600452,-2.084530611187308,15.499722818759858,21.93370261896733
sh600455,0.2747471758179091,14.60859713210664,21.61812528369957
sh600458,-1.5479357126763067,17.13748492597543,23.33340157256036
sh600460,-4.753590191106368,17.53969417475407,23.02716350539342
sh600462,0.13940839809005492,16.08881560251688,22.202699641202415
sh600463,-2.4185785333881977,15.71667203178887,22.00389767203829
